Name of Plant,Installed Capacity (MW),Type,Location (District),Latitude,Longitude,State,Date of Commissioning,Average domestic electricity rates in Rs./KWh,Per capita electricity consumption in KWh,Solar Rad Monthly,Solar Rad Annual,poa monthly
Tect Power Pvt. Limited,0.25,Solar,Bikaner,28.01647,73.31184,Rajasthan,30-Mar-2014,7.95,1282,"[5.559354305267334, 6.264702796936035, 6.715618133544922, 6.844983100891113, 6.533813953399658, 6.097417831420898, 5.8675618171691895, 6.04442024230957, 6.637346267700195, 6.4079060554504395, 5.717188835144043, 5.301156520843506]",6.165955067,"[172.33998107910156, 175.41168212890625, 208.1841583251953, 205.3494873046875, 202.54823303222656, 182.9225311279297, 181.8944091796875, 187.3770294189453, 199.12039184570312, 198.64508056640625, 171.5156707763672, 164.33584594726562]"
Nolaram Dulichand Dal\rMills,2,Solar,Bikaner,28.01647,73.31184,Rajasthan,30-Mar-2014,7.95,1282,"[5.559354305267334, 6.264702796936035, 6.715618133544922, 6.844983100891113, 6.533813953399658, 6.097417831420898, 5.8675618171691895, 6.04442024230957, 6.637346267700195, 6.4079060554504395, 5.717188835144043, 5.301156520843506]",6.165955067,"[172.33998107910156, 175.41168212890625, 208.1841583251953, 205.3494873046875, 202.54823303222656, 182.9225311279297, 181.8944091796875, 187.3770294189453, 199.12039184570312, 198.64508056640625, 171.5156707763672, 164.33584594726562]"
Lohia Gramin Vikas Pvt.\rLimited (2nd Project),1,Solar,Bikaner,28.01647,73.31184,Rajasthan,31-Mar-2014,7.95,1282,"[5.559354305267334, 6.264702796936035, 6.715618133544922, 6.844983100891113, 6.533813953399658, 6.097417831420898, 5.8675618171691895, 6.04442024230957, 6.637346267700195, 6.4079060554504395, 5.717188835144043, 5.301156520843506]",6.165955067,"[172.33998107910156, 175.41168212890625, 208.1841583251953, 205.3494873046875, 202.54823303222656, 182.9225311279297, 181.8944091796875, 187.3770294189453, 199.12039184570312, 198.64508056640625, 171.5156707763672, 164.33584594726562]"
Rays Power Experts (P)\rLimited,1,Solar,Bikaner,28.01647,73.31184,Rajasthan,31-Mar-2014,7.95,1282,"[5.559354305267334, 6.264702796936035, 6.715618133544922, 6.844983100891113, 6.533813953399658, 6.097417831420898, 5.8675618171691895, 6.04442024230957, 6.637346267700195, 6.4079060554504395, 5.717188835144043, 5.301156520843506]",6.165955067,"[172.33998107910156, 175.41168212890625, 208.1841583251953, 205.3494873046875, 202.54823303222656, 182.9225311279297, 181.8944091796875, 187.3770294189453, 199.12039184570312, 198.64508056640625, 171.5156707763672, 164.33584594726562]"
Bikaji Foods International\rLimited,1,Solar,Bikaner,28.01647,73.31184,Rajasthan,31-Mar-2014,7.95,1282,"[5.559354305267334, 6.264702796936035, 6.715618133544922, 6.844983100891113, 6.533813953399658, 6.097417831420898, 5.8675618171691895, 6.04442024230957, 6.637346267700195, 6.4079060554504395, 5.717188835144043, 5.301156520843506]",6.165955067,"[172.33998107910156, 175.41168212890625, 208.1841583251953, 205.3494873046875, 202.54823303222656, 182.9225311279297, 181.8944091796875, 187.3770294189453, 199.12039184570312, 198.64508056640625, 171.5156707763672, 164.33584594726562]"
Sir Kasturchand Daga\rSolar Power Inc,1,Solar,Bikaner,28.01647,73.31184,Rajasthan,31-Mar-2014,7.95,1282,"[5.559354305267334, 6.264702796936035, 6.715618133544922, 6.844983100891113, 6.533813953399658, 6.097417831420898, 5.8675618171691895, 6.04442024230957, 6.637346267700195, 6.4079060554504395, 5.717188835144043, 5.301156520843506]",6.165955067,"[172.33998107910156, 175.41168212890625, 208.1841583251953, 205.3494873046875, 202.54823303222656, 182.9225311279297, 181.8944091796875, 187.3770294189453, 199.12039184570312, 198.64508056640625, 171.5156707763672, 164.33584594726562]"
Tirupati Microtech\rPrivate Limited,1,Solar,Bikaner,28.01647,73.31184,Rajasthan,31-Mar-2014,7.95,1282,"[5.559354305267334, 6.264702796936035, 6.715618133544922, 6.844983100891113, 6.533813953399658, 6.097417831420898, 5.8675618171691895, 6.04442024230957, 6.637346267700195, 6.4079060554504395, 5.717188835144043, 5.301156520843506]",6.165955067,"[172.33998107910156, 175.41168212890625, 208.1841583251953, 205.3494873046875, 202.54823303222656, 182.9225311279297, 181.8944091796875, 187.3770294189453, 199.12039184570312, 198.64508056640625, 171.5156707763672, 164.33584594726562]"
Pritam Hospital,0.25,Solar,Bikaner,28.01647,73.31184,Rajasthan,31-Mar-2014,7.95,1282,"[5.559354305267334, 6.264702796936035, 6.715618133544922, 6.844983100891113, 6.533813953399658, 6.097417831420898, 5.8675618171691895, 6.04442024230957, 6.637346267700195, 6.4079060554504395, 5.717188835144043, 5.301156520843506]",6.165955067,"[172.33998107910156, 175.41168212890625, 208.1841583251953, 205.3494873046875, 202.54823303222656, 182.9225311279297, 181.8944091796875, 187.3770294189453, 199.12039184570312, 198.64508056640625, 171.5156707763672, 164.33584594726562]"
K.K.Enterprises,0.5,Solar,Bikaner,28.01647,73.31184,Rajasthan,1-Apr-2014,7.95,1282,"[5.559354305267334, 6.264702796936035, 6.715618133544922, 6.844983100891113, 6.533813953399658, 6.097417831420898, 5.8675618171691895, 6.04442024230957, 6.637346267700195, 6.4079060554504395, 5.717188835144043, 5.301156520843506]",6.165955067,"[172.33998107910156, 175.41168212890625, 208.1841583251953, 205.3494873046875, 202.54823303222656, 182.9225311279297, 181.8944091796875, 187.3770294189453, 199.12039184570312, 198.64508056640625, 171.5156707763672, 164.33584594726562]"
Topaz Investments (P)\rLimited,4,Solar,Bikaner,28.01647,73.31184,Rajasthan,9-May-2014,7.95,1282,"[5.559354305267334, 6.264702796936035, 6.715618133544922, 6.844983100891113, 6.533813953399658, 6.097417831420898, 5.8675618171691895, 6.04442024230957, 6.637346267700195, 6.4079060554504395, 5.717188835144043, 5.301156520843506]",6.165955067,"[172.33998107910156, 175.41168212890625, 208.1841583251953, 205.3494873046875, 202.54823303222656, 182.9225311279297, 181.8944091796875, 187.3770294189453, 199.12039184570312, 198.64508056640625, 171.5156707763672, 164.33584594726562]"
Cepco Industries (P)\rLimited  (2nd Project),2,Solar,Jodhpur,26.26691,73.03052,Rajasthan,25-Jun-2014,7.95,1282,"[6.2187042236328125, 6.566390514373779, 7.07090950012207, 7.000625133514404, 6.772578239440918, 6.17702579498291, 5.591103553771973, 5.518489837646484, 6.286740303039551, 6.612390041351318, 6.0205841064453125, 5.576983451843262]",6.284376621,"[192.7798309326172, 183.8589324951172, 219.1981964111328, 210.0187530517578, 209.94992065429688, 185.31077575683594, 173.32420349121094, 171.07318115234375, 188.60220336914062, 204.9840850830078, 180.61752319335938, 172.88648986816406]"
Moss Energy Private\rLimited,0.1,Solar,Bikaner,28.01647,73.31184,Rajasthan,4-Aug-2014,7.95,1282,"[5.559354305267334, 6.264702796936035, 6.715618133544922, 6.844983100891113, 6.533813953399658, 6.097417831420898, 5.8675618171691895, 6.04442024230957, 6.637346267700195, 6.4079060554504395, 5.717188835144043, 5.301156520843506]",6.165955067,"[172.33998107910156, 175.41168212890625, 208.1841583251953, 205.3494873046875, 202.54823303222656, 182.9225311279297, 181.8944091796875, 187.3770294189453, 199.12039184570312, 198.64508056640625, 171.5156707763672, 164.33584594726562]"
Sidhidata Solar Urja\rLimited,5,Solar,Jodhpur,26.26691,73.03052,Rajasthan,11-Aug-2014,7.95,1282,"[6.2187042236328125, 6.566390514373779, 7.07090950012207, 7.000625133514404, 6.772578239440918, 6.17702579498291, 5.591103553771973, 5.518489837646484, 6.286740303039551, 6.612390041351318, 6.0205841064453125, 5.576983451843262]",6.284376621,"[192.7798309326172, 183.8589324951172, 219.1981964111328, 210.0187530517578, 209.94992065429688, 185.31077575683594, 173.32420349121094, 171.07318115234375, 188.60220336914062, 204.9840850830078, 180.61752319335938, 172.88648986816406]"
Blow Packaging (India)\rPvt. Limited,1,Solar,Bikaner,28.01647,73.31184,Rajasthan,26-Aug-2014,7.95,1282,"[5.559354305267334, 6.264702796936035, 6.715618133544922, 6.844983100891113, 6.533813953399658, 6.097417831420898, 5.8675618171691895, 6.04442024230957, 6.637346267700195, 6.4079060554504395, 5.717188835144043, 5.301156520843506]",6.165955067,"[172.33998107910156, 175.41168212890625, 208.1841583251953, 205.3494873046875, 202.54823303222656, 182.9225311279297, 181.8944091796875, 187.3770294189453, 199.12039184570312, 198.64508056640625, 171.5156707763672, 164.33584594726562]"
Topaz Investments (P)\rLimited,3,Solar,Bikaner,28.01647,73.31184,Rajasthan,12-Sep-2014,7.95,1282,"[5.559354305267334, 6.264702796936035, 6.715618133544922, 6.844983100891113, 6.533813953399658, 6.097417831420898, 5.8675618171691895, 6.04442024230957, 6.637346267700195, 6.4079060554504395, 5.717188835144043, 5.301156520843506]",6.165955067,"[172.33998107910156, 175.41168212890625, 208.1841583251953, 205.3494873046875, 202.54823303222656, 182.9225311279297, 181.8944091796875, 187.3770294189453, 199.12039184570312, 198.64508056640625, 171.5156707763672, 164.33584594726562]"
Sharma Industries,2,Solar,Bikaner,28.01647,73.31184,Rajasthan,30-Sep-2014,7.95,1282,"[5.559354305267334, 6.264702796936035, 6.715618133544922, 6.844983100891113, 6.533813953399658, 6.097417831420898, 5.8675618171691895, 6.04442024230957, 6.637346267700195, 6.4079060554504395, 5.717188835144043, 5.301156520843506]",6.165955067,"[172.33998107910156, 175.41168212890625, 208.1841583251953, 205.3494873046875, 202.54823303222656, 182.9225311279297, 181.8944091796875, 187.3770294189453, 199.12039184570312, 198.64508056640625, 171.5156707763672, 164.33584594726562]"
