Name of Plant,Installed Capacity (MW),Type,Location (District),Latitude,Longitude,State,Date of Commissioning,Average domestic electricity rates in Rs./KWh,Per capita electricity consumption in KWh,Solar Rad Monthly,Solar Rad Annual,poa monthly
M/s Gummadidala Solar Pvt Ltd (SPV\rof M/s Solar Pack Corporation,15,Solar,Medak,18.04749,78.26676,Telangana,24-Nov-2017,9.5,1896,"[6.368287086486816, 6.679650783538818, 6.891286849975586, 6.872933864593506, 6.22003173828125, 5.181731224060059, 4.490654945373535, 4.648372173309326, 5.456925868988037, 5.84528923034668, 5.920705318450928, 5.895915508270264]",5.872648239,"[197.41690063476562, 187.0302276611328, 213.62989807128906, 206.18801879882812, 192.82098388671875, 155.45193481445312, 139.21029663085938, 144.0995330810547, 163.70777893066406, 181.20396423339844, 177.62115478515625, 182.77337646484375]"
Zuka Power Pvt Ltd (SPV of M/s Sun\rEdison),48,Solar,Nalgonda,17.05712,79.26848,Telangana,30-Nov-2017,9.5,1896,"[5.888449668884277, 6.669754505157471, 7.066452503204346, 6.664954662322998, 6.105464935302734, 5.2198028564453125, 4.880435466766357, 5.173393726348877, 5.7536187171936035, 5.726511478424072, 5.8994221687316895, 5.7859625816345215]",5.902852535,"[182.5419464111328, 186.7531280517578, 219.06002807617188, 199.94863891601562, 189.2694091796875, 156.59408569335938, 151.2935028076172, 160.3751983642578, 172.6085662841797, 177.5218505859375, 176.982666015625, 179.36483764648438]"
M/s Mytrah Engery (I) Ltd,15,Solar,Nizamabad,18.66667,78.11667,Telangana,5-Dec-2017,9.5,1896,"[6.28472375869751, 6.791787624359131, 6.878690242767334, 6.8354973793029785, 6.402448654174805, 5.196366786956787, 4.576247215270996, 4.711215496063232, 5.760553359985352, 6.030467987060547, 5.93657922744751, 5.94781494140625]",5.946033001,"[194.82643127441406, 190.17005920410156, 213.23939514160156, 205.06492614746094, 198.4759063720703, 155.89100646972656, 141.86366271972656, 146.0476837158203, 172.8166046142578, 186.9445037841797, 178.09738159179688, 184.38226318359375]"
M/s Mytrah Engery (I) Ltd,15,Solar,Nizamabad,18.66667,78.11667,Telangana,5-Dec-2017,9.5,1896,"[6.28472375869751, 6.791787624359131, 6.878690242767334, 6.8354973793029785, 6.402448654174805, 5.196366786956787, 4.576247215270996, 4.711215496063232, 5.760553359985352, 6.030467987060547, 5.93657922744751, 5.94781494140625]",5.946033001,"[194.82643127441406, 190.17005920410156, 213.23939514160156, 205.06492614746094, 198.4759063720703, 155.89100646972656, 141.86366271972656, 146.0476837158203, 172.8166046142578, 186.9445037841797, 178.09738159179688, 184.38226318359375]"
M/s Mytrah Engery (I) Ltd,15,Solar,Karimnagar,18.43333,79.15,Telangana,6-Dec-2017,9.5,1896,"[6.036076545715332, 6.680910587310791, 6.836361885070801, 6.724233627319336, 6.152618885040283, 5.0631256103515625, 4.719341278076172, 4.673161029815674, 5.759590148925781, 5.846014022827148, 5.959372043609619, 5.866495609283447]",5.859775066,"[187.11837768554688, 187.06549072265625, 211.92721557617188, 201.7270050048828, 190.73118591308594, 151.89376831054688, 146.29957580566406, 144.8679962158203, 172.78770446777344, 181.2264404296875, 178.78115844726562, 181.86135864257812]"
M/s. DRES Energy Pvt. Limited.,7,Solar,Ranga Reddy,17.13601209,78.41405585,Telangana,28-Dec-2017,9.5,1896,"[5.968796730041504, 6.6950883865356445, 6.997608184814453, 6.701192378997803, 6.217010021209717, 5.317148685455322, 4.9162092208862305, 5.038717746734619, 5.7152180671691895, 5.832195281982422, 5.87140417098999, 5.919374465942383]",5.932497025,"[185.03269958496094, 187.4624786376953, 216.9258575439453, 201.0357666015625, 192.72731018066406, 159.51446533203125, 152.40248107910156, 156.20025634765625, 171.45654296875, 180.7980499267578, 176.14212036132812, 183.5006103515625]"
"Rockhopper Renewables (I) Pvt\rLtd.,(M/s.Natems Power Ltd)",7,Solar,Medak,18.04749,78.26676,Telangana,28-Dec-2017,9.5,1896,"[6.368287086486816, 6.679650783538818, 6.891286849975586, 6.872933864593506, 6.22003173828125, 5.181731224060059, 4.490654945373535, 4.648372173309326, 5.456925868988037, 5.84528923034668, 5.920705318450928, 5.895915508270264]",5.872648239,"[197.41690063476562, 187.0302276611328, 213.62989807128906, 206.18801879882812, 192.82098388671875, 155.45193481445312, 139.21029663085938, 144.0995330810547, 163.70777893066406, 181.20396423339844, 177.62115478515625, 182.77337646484375]"
"M/s M/s Azure Power Thirty\rSeven Private Ltd.,",100,Solar,Mahbubnagar,16.9047,78.81397,Telangana,12-Jan-2018,9.5,1896,"[5.977735996246338, 6.68886661529541, 7.063381671905518, 6.630482196807861, 6.027322769165039, 5.292666912078857, 4.893020153045654, 5.266378402709961, 5.664548397064209, 5.719760894775391, 5.821591854095459, 5.804479122161865]",5.904186249,"[185.309814453125, 187.28826904296875, 218.96482849121094, 198.91445922851562, 186.8470001220703, 158.78001403808594, 151.68362426757812, 163.2577362060547, 169.9364471435547, 177.31259155273438, 174.6477508544922, 179.93885803222656]"
M/s.Hyderabad Institute of Oncology\rPvt Ltd.,1,Solar,Khammam,17.25087,80.15742,Telangana,24-Jan-2018,9.5,1896,"[5.773674488067627, 6.458014965057373, 6.827850341796875, 6.684359550476074, 6.081092357635498, 5.174458980560303, 4.751441478729248, 4.993780136108398, 5.548829078674316, 5.7623467445373535, 5.727818489074707, 5.642235279083252]",5.785491943,"[178.98390197753906, 180.8244171142578, 211.66336059570312, 200.53079223632812, 188.5138702392578, 155.2337646484375, 147.29469299316406, 154.80718994140625, 166.46487426757812, 178.63275146484375, 171.8345489501953, 174.90928649902344]"
Acme Solar Power Technology Private\rLimited,50,Solar,Nalgonda,17.05712,79.26848,Telangana,7-Feb-2018,9.5,1896,"[5.888449668884277, 6.669754505157471, 7.066452503204346, 6.664954662322998, 6.105464935302734, 5.2198028564453125, 4.880435466766357, 5.173393726348877, 5.7536187171936035, 5.726511478424072, 5.8994221687316895, 5.7859625816345215]",5.902852535,"[182.5419464111328, 186.7531280517578, 219.06002807617188, 199.94863891601562, 189.2694091796875, 156.59408569335938, 151.2935028076172, 160.3751983642578, 172.6085662841797, 177.5218505859375, 176.982666015625, 179.36483764648438]"
M/s Mytrah Engery (I) Ltd,15,Solar,Mahbubnagar,16.9047,78.81397,Telangana,27-Feb-2018,9.5,1896,"[5.977735996246338, 6.68886661529541, 7.063381671905518, 6.630482196807861, 6.027322769165039, 5.292666912078857, 4.893020153045654, 5.266378402709961, 5.664548397064209, 5.719760894775391, 5.821591854095459, 5.804479122161865]",5.904186249,"[185.309814453125, 187.28826904296875, 218.96482849121094, 198.91445922851562, 186.8470001220703, 158.78001403808594, 151.68362426757812, 163.2577362060547, 169.9364471435547, 177.31259155273438, 174.6477508544922, 179.93885803222656]"
M/s Mytrah Engery (I) Ltd,15,Solar,Ranga Reddy,17.13601209,78.41405585,Telangana,2-Mar-2018,9.5,1896,"[5.968796730041504, 6.6950883865356445, 6.997608184814453, 6.701192378997803, 6.217010021209717, 5.317148685455322, 4.9162092208862305, 5.038717746734619, 5.7152180671691895, 5.832195281982422, 5.87140417098999, 5.919374465942383]",5.932497025,"[185.03269958496094, 187.4624786376953, 216.9258575439453, 201.0357666015625, 192.72731018066406, 159.51446533203125, 152.40248107910156, 156.20025634765625, 171.45654296875, 180.7980499267578, 176.14212036132812, 183.5006103515625]"
M/s Mytrah Engery (I) Ltd,50,Solar,Nalgonda,17.05712,79.26848,Telangana,16-Mar-2018,9.5,1896,"[5.888449668884277, 6.669754505157471, 7.066452503204346, 6.664954662322998, 6.105464935302734, 5.2198028564453125, 4.880435466766357, 5.173393726348877, 5.7536187171936035, 5.726511478424072, 5.8994221687316895, 5.7859625816345215]",5.902852535,"[182.5419464111328, 186.7531280517578, 219.06002807617188, 199.94863891601562, 189.2694091796875, 156.59408569335938, 151.2935028076172, 160.3751983642578, 172.6085662841797, 177.5218505859375, 176.982666015625, 179.36483764648438]"
Misra Dhatu Nigam Ltd.(MIDHANI),4,Solar,Ranga Reddy,17.13601209,78.41405585,Telangana,21-Mar-2018,9.5,1896,"[5.968796730041504, 6.6950883865356445, 6.997608184814453, 6.701192378997803, 6.217010021209717, 5.317148685455322, 4.9162092208862305, 5.038717746734619, 5.7152180671691895, 5.832195281982422, 5.87140417098999, 5.919374465942383]",5.932497025,"[185.03269958496094, 187.4624786376953, 216.9258575439453, 201.0357666015625, 192.72731018066406, 159.51446533203125, 152.40248107910156, 156.20025634765625, 171.45654296875, 180.7980499267578, 176.14212036132812, 183.5006103515625]"
M/s.J.K Fenner (I) Ltd,2.5,Solar,Medak,18.04749,78.26676,Telangana,14-Apr-2018,9.5,1896,"[6.368287086486816, 6.679650783538818, 6.891286849975586, 6.872933864593506, 6.22003173828125, 5.181731224060059, 4.490654945373535, 4.648372173309326, 5.456925868988037, 5.84528923034668, 5.920705318450928, 5.895915508270264]",5.872648239,"[197.41690063476562, 187.0302276611328, 213.62989807128906, 206.18801879882812, 192.82098388671875, 155.45193481445312, 139.21029663085938, 144.0995330810547, 163.70777893066406, 181.20396423339844, 177.62115478515625, 182.77337646484375]"
Enersol,2,Solar,Nalgonda,17.05712,79.26848,Telangana,19-May-2018,9.5,1896,"[5.888449668884277, 6.669754505157471, 7.066452503204346, 6.664954662322998, 6.105464935302734, 5.2198028564453125, 4.880435466766357, 5.173393726348877, 5.7536187171936035, 5.726511478424072, 5.8994221687316895, 5.7859625816345215]",5.902852535,"[182.5419464111328, 186.7531280517578, 219.06002807617188, 199.94863891601562, 189.2694091796875, 156.59408569335938, 151.2935028076172, 160.3751983642578, 172.6085662841797, 177.5218505859375, 176.982666015625, 179.36483764648438]"
M/s Mytrah Engery (I) Ltd,50,Solar,Nizamabad,18.66667,78.11667,Telangana,22-Nov-2018,9.5,1896,"[6.28472375869751, 6.791787624359131, 6.878690242767334, 6.8354973793029785, 6.402448654174805, 5.196366786956787, 4.576247215270996, 4.711215496063232, 5.760553359985352, 6.030467987060547, 5.93657922744751, 5.94781494140625]",5.946033001,"[194.82643127441406, 190.17005920410156, 213.23939514160156, 205.06492614746094, 198.4759063720703, 155.89100646972656, 141.86366271972656, 146.0476837158203, 172.8166046142578, 186.9445037841797, 178.09738159179688, 184.38226318359375]"
M/s Mytrah Engery (I) Ltd,50,Solar,Mahbubnagar,16.9047,78.81397,Telangana,28-Nov-2018,9.5,1896,"[5.977735996246338, 6.68886661529541, 7.063381671905518, 6.630482196807861, 6.027322769165039, 5.292666912078857, 4.893020153045654, 5.266378402709961, 5.664548397064209, 5.719760894775391, 5.821591854095459, 5.804479122161865]",5.904186249,"[185.309814453125, 187.28826904296875, 218.96482849121094, 198.91445922851562, 186.8470001220703, 158.78001403808594, 151.68362426757812, 163.2577362060547, 169.9364471435547, 177.31259155273438, 174.6477508544922, 179.93885803222656]"
M/s Clean Solar Power (Chittradurga)\rPvt Ltd (SPVM/s Hero Solar Energy\rPrivate Limited),40,Solar,Medak,18.04749,78.26676,Telangana,30-Nov-2018,9.5,1896,"[6.368287086486816, 6.679650783538818, 6.891286849975586, 6.872933864593506, 6.22003173828125, 5.181731224060059, 4.490654945373535, 4.648372173309326, 5.456925868988037, 5.84528923034668, 5.920705318450928, 5.895915508270264]",5.872648239,"[197.41690063476562, 187.0302276611328, 213.62989807128906, 206.18801879882812, 192.82098388671875, 155.45193481445312, 139.21029663085938, 144.0995330810547, 163.70777893066406, 181.20396423339844, 177.62115478515625, 182.77337646484375]"
Bharat Dynamics Limited,5,Solar,Ranga Reddy,17.13601209,78.41405585,Telangana,17-Apr-2019,9.5,1896,"[5.968796730041504, 6.6950883865356445, 6.997608184814453, 6.701192378997803, 6.217010021209717, 5.317148685455322, 4.9162092208862305, 5.038717746734619, 5.7152180671691895, 5.832195281982422, 5.87140417098999, 5.919374465942383]",5.932497025,"[185.03269958496094, 187.4624786376953, 216.9258575439453, 201.0357666015625, 192.72731018066406, 159.51446533203125, 152.40248107910156, 156.20025634765625, 171.45654296875, 180.7980499267578, 176.14212036132812, 183.5006103515625]"
OBERON Power Corporation Pvt. Ltd.,5,Solar,Khammam,17.25087,80.15742,Telangana,8-Aug-2019,9.5,1896,"[5.773674488067627, 6.458014965057373, 6.827850341796875, 6.684359550476074, 6.081092357635498, 5.174458980560303, 4.751441478729248, 4.993780136108398, 5.548829078674316, 5.7623467445373535, 5.727818489074707, 5.642235279083252]",5.785491943,"[178.98390197753906, 180.8244171142578, 211.66336059570312, 200.53079223632812, 188.5138702392578, 155.2337646484375, 147.29469299316406, 154.80718994140625, 166.46487426757812, 178.63275146484375, 171.8345489501953, 174.90928649902344]"
OBERON Power Corporation Pvt. Ltd.,5,Solar,Khammam,17.25087,80.15742,Telangana,8-Aug-2019,9.5,1896,"[5.773674488067627, 6.458014965057373, 6.827850341796875, 6.684359550476074, 6.081092357635498, 5.174458980560303, 4.751441478729248, 4.993780136108398, 5.548829078674316, 5.7623467445373535, 5.727818489074707, 5.642235279083252]",5.785491943,"[178.98390197753906, 180.8244171142578, 211.66336059570312, 200.53079223632812, 188.5138702392578, 155.2337646484375, 147.29469299316406, 154.80718994140625, 166.46487426757812, 178.63275146484375, 171.8345489501953, 174.90928649902344]"
Enrich Energy Ltd.,0,Solar,null,32.99444,74.34722,Telangana,null,9.5,1896,null,null,null
M/s GEA BGR Energy System India Ltd,2,Solar,Mahbubnagar,16.9047,78.81397,Telangana,null,9.5,1896,"[5.977735996246338, 6.68886661529541, 7.063381671905518, 6.630482196807861, 6.027322769165039, 5.292666912078857, 4.893020153045654, 5.266378402709961, 5.664548397064209, 5.719760894775391, 5.821591854095459, 5.804479122161865]",5.904186249,"[185.309814453125, 187.28826904296875, 218.96482849121094, 198.91445922851562, 186.8470001220703, 158.78001403808594, 151.68362426757812, 163.2577362060547, 169.9364471435547, 177.31259155273438, 174.6477508544922, 179.93885803222656]"
Edayar,1.25,Solar,null,32.99444,74.34722,Kerala,null,7.9,757,null,null,null
Kollengode,1,Solar,null,32.99444,74.34722,Kerala,null,7.9,757,null,null,null
Barapole,4,Solar,null,32.99444,74.34722,Kerala,null,7.9,757,null,null,null
Pothencode,2,Solar,null,32.99444,74.34722,Kerala,null,7.9,757,null,null,null
Muvattupuzha,1.25,Solar,null,32.99444,74.34722,Kerala,null,7.9,757,null,null,null
CIAL,29.03,Solar,null,32.99444,74.34722,Kerala,null,7.9,757,null,null,null
Hindacola,1,Solar,null,32.99444,74.34722,Kerala,null,7.9,757,null,null,null
"Anert, Kuzhalmandom",2,Solar,null,32.99444,74.34722,Kerala,null,7.9,757,null,null,null
Ambalathara,50,Solar,null,32.99444,74.34722,Kerala,null,7.9,757,null,null,null
KPCL Kolar,3,Solar,Kolar,13.13333,78.13333,Karnataka,27-Dec-2009,7.5,1396,"[6.448537349700928, 6.983440399169922, 7.129461765289307, 6.672162055969238, 6.1722307205200195, 5.645752906799316, 5.348321437835693, 5.473709583282471, 6.037362575531006, 5.503749370574951, 5.4476165771484375, 5.902475833892822]",6.063734055,"[199.9046630859375, 195.5363311767578, 221.01332092285156, 200.16485595703125, 191.3391571044922, 169.37258911132812, 165.79795837402344, 169.68499755859375, 181.12088012695312, 170.61622619628906, 163.42849731445312, 182.97674560546875]"
KPCL Raichur,3,Solar,Raichur,16.2,77.36667,Karnataka,7-Feb-2012,7.5,1396,"[6.24662971496582, 6.92872953414917, 7.1154093742370605, 6.824744701385498, 6.3050360679626465, 5.441603183746338, 5.126779079437256, 5.233230113983154, 5.7222418785095215, 5.813742637634277, 5.991031169891357, 6.046778202056885]",6.066329479,"[193.64552307128906, 194.00442504882812, 220.57769775390625, 204.74234008789062, 195.45611572265625, 163.2480926513672, 158.93014526367188, 162.23013305664062, 171.66725158691406, 180.2260284423828, 179.73094177246094, 187.4501190185547]"
KPCL Mandya,5,Solar,Mandya,12.52735,76.89465,Karnataka,25-Jun-2012,7.5,1396,"[6.64646577835083, 7.070021152496338, 7.211606502532959, 6.849462985992432, 6.176262855529785, 5.293726444244385, 5.09473991394043, 5.213168144226074, 5.808872699737549, 5.817525863647461, 5.728953838348389, 5.975780010223389]",6.073881626,"[206.04043579101562, 197.96058654785156, 223.55979919433594, 205.48388671875, 191.46414184570312, 158.81179809570312, 157.9369354248047, 161.60821533203125, 174.26617431640625, 180.3433074951172, 171.86862182617188, 185.24917602539062]"
Jindal Aluminium Ltd,10,Solar,Chitradurga,14.22049,76.39956,Karnataka,5-Jun-2013,7.5,1396,"[6.626783847808838, 7.110927104949951, 7.0209150314331055, 6.849549293518066, 6.159091472625732, 5.388680934906006, 4.9555792808532715, 5.16971492767334, 5.7304229736328125, 5.9024834632873535, 5.821478366851807, 6.1640849113464355]",6.074975967,"[205.4302978515625, 199.10595703125, 217.6483612060547, 205.48648071289062, 190.9318389892578, 161.66043090820312, 153.62295532226562, 160.26116943359375, 171.91268920898438, 182.97698974609375, 174.64434814453125, 191.08663940429688]"
Welspun Solar Kannada Pvt Ltd,7,Solar,Chitradurga,14.22049,76.39956,Karnataka,9-Dec-2013,7.5,1396,"[6.626783847808838, 7.110927104949951, 7.0209150314331055, 6.849549293518066, 6.159091472625732, 5.388680934906006, 4.9555792808532715, 5.16971492767334, 5.7304229736328125, 5.9024834632873535, 5.821478366851807, 6.1640849113464355]",6.074975967,"[205.4302978515625, 199.10595703125, 217.6483612060547, 205.48648071289062, 190.9318389892578, 161.66043090820312, 153.62295532226562, 160.26116943359375, 171.91268920898438, 182.97698974609375, 174.64434814453125, 191.08663940429688]"
Welspun Solar Kannada Private Ltd.,10,solar,Chitradurga,14.22049,76.39956,Karnataka,11-Apr-2014,7.5,1396,"[6.626783847808838, 7.110927104949951, 7.0209150314331055, 6.849549293518066, 6.159091472625732, 5.388680934906006, 4.9555792808532715, 5.16971492767334, 5.7304229736328125, 5.9024834632873535, 5.821478366851807, 6.1640849113464355]",6.074975967,"[205.4302978515625, 199.10595703125, 217.6483612060547, 205.48648071289062, 190.9318389892578, 161.66043090820312, 153.62295532226562, 160.26116943359375, 171.91268920898438, 182.97698974609375, 174.64434814453125, 191.08663940429688]"
ESSEL Infrastructure Ltd.,5,Solar,Vijaypura,23.99385,79.14439,Karnataka,30-Jul-2014,7.5,1396,"[5.570117950439453, 6.696813106536865, 6.997868537902832, 6.842043876647949, 6.372436046600342, 5.186054706573486, 4.360592365264893, 4.867372035980225, 5.731570720672607, 6.208155632019043, 5.7066192626953125, 5.762472152709961]",5.858509541,"[172.6736602783203, 187.51077270507812, 216.93392944335938, 205.26132202148438, 197.54551696777344, 155.58163452148438, 135.17835998535156, 150.88853454589844, 171.94712829589844, 192.45281982421875, 171.19857788085938, 178.6366424560547]"
ESSEL Infrastructure Ltd.,5,Solar,Vijaypura,23.99385,79.14439,Karnataka,30-Jul-2014,7.5,1396,"[5.570117950439453, 6.696813106536865, 6.997868537902832, 6.842043876647949, 6.372436046600342, 5.186054706573486, 4.360592365264893, 4.867372035980225, 5.731570720672607, 6.208155632019043, 5.7066192626953125, 5.762472152709961]",5.858509541,"[172.6736602783203, 187.51077270507812, 216.93392944335938, 205.26132202148438, 197.54551696777344, 155.58163452148438, 135.17835998535156, 150.88853454589844, 171.94712829589844, 192.45281982421875, 171.19857788085938, 178.6366424560547]"
United Telecoms Limited,3,Solar,Kolar,13.13333,78.13333,Karnataka,28-Aug-2014,7.5,1396,"[6.448537349700928, 6.983440399169922, 7.129461765289307, 6.672162055969238, 6.1722307205200195, 5.645752906799316, 5.348321437835693, 5.473709583282471, 6.037362575531006, 5.503749370574951, 5.4476165771484375, 5.902475833892822]",6.063734055,"[199.9046630859375, 195.5363311767578, 221.01332092285156, 200.16485595703125, 191.3391571044922, 169.37258911132812, 165.79795837402344, 169.68499755859375, 181.12088012695312, 170.61622619628906, 163.42849731445312, 182.97674560546875]"
GKC Projects Limited,10,Solar,Bidar,17.9,77.55,Karnataka,30-Aug-2014,7.5,1396,"[6.226771354675293, 6.8395161628723145, 6.796945095062256, 6.646835803985596, 6.245396137237549, 5.219132423400879, 4.637387752532959, 4.8100810050964355, 5.629140377044678, 6.030284404754639, 6.041515827178955, 6.097965240478516]",5.935081482,"[193.0299072265625, 191.50645446777344, 210.70529174804688, 199.4050750732422, 193.60728454589844, 156.573974609375, 143.75901794433594, 149.11251831054688, 168.87420654296875, 186.93881225585938, 181.24546813964844, 189.03692626953125]"
Bhoruka Power Corporation Limited,10,solar,Chitradurga,14.22049,76.39956,Karnataka,12-Nov-2014,7.5,1396,"[6.626783847808838, 7.110927104949951, 7.0209150314331055, 6.849549293518066, 6.159091472625732, 5.388680934906006, 4.9555792808532715, 5.16971492767334, 5.7304229736328125, 5.9024834632873535, 5.821478366851807, 6.1640849113464355]",6.074975967,"[205.4302978515625, 199.10595703125, 217.6483612060547, 205.48648071289062, 190.9318389892578, 161.66043090820312, 153.62295532226562, 160.26116943359375, 171.91268920898438, 182.97698974609375, 174.64434814453125, 191.08663940429688]"
Azure Power Karnataka Private Limited,10,solar,Chitradurga,14.22049,76.39956,Karnataka,8-Jan-2015,7.5,1396,"[6.626783847808838, 7.110927104949951, 7.0209150314331055, 6.849549293518066, 6.159091472625732, 5.388680934906006, 4.9555792808532715, 5.16971492767334, 5.7304229736328125, 5.9024834632873535, 5.821478366851807, 6.1640849113464355]",6.074975967,"[205.4302978515625, 199.10595703125, 217.6483612060547, 205.48648071289062, 190.9318389892578, 161.66043090820312, 153.62295532226562, 160.26116943359375, 171.91268920898438, 182.97698974609375, 174.64434814453125, 191.08663940429688]"
KBJNL (Bagalkot) Canal top,1,Solar,Bagalkote,16.16623,75.65415,Karnataka,22-Mar-2015,7.5,1396,"[6.3819990158081055, 6.961212635040283, 7.101330757141113, 6.888885021209717, 6.281296730041504, 5.394627094268799, 4.855495929718018, 5.036441802978516, 5.700096607208252, 5.874797821044922, 6.072793960571289, 6.010568618774414]",6.046628475,"[197.8419647216797, 194.91395568847656, 220.14125061035156, 206.6665496826172, 194.72019958496094, 161.83880615234375, 150.52037048339844, 156.12969970703125, 171.00289916992188, 182.1187286376953, 182.18382263183594, 186.32762145996094]"
Atria Power Corporation Ltd (IPP Solar\rthermal),3,Solar,Haveri,14.79276,75.39635,Karnataka,28-Mar-2015,7.5,1396,"[6.628911972045898, 6.974203586578369, 7.142805576324463, 6.818885803222656, 6.173054218292236, 4.859048843383789, 4.768537521362305, 4.929603099822998, 5.687335014343262, 5.866239070892334, 6.0581841468811035, 6.189446449279785]",6.008020878,"[205.49627685546875, 195.27769470214844, 221.42697143554688, 204.5665740966797, 191.36468505859375, 145.77146911621094, 147.8246612548828, 152.8177032470703, 170.62005615234375, 181.85340881347656, 181.7455291748047, 191.87283325195312]"
KPCL Mandya,10,Solar,Mandya,12.52735,76.89465,Karnataka,17-Jun-2015,7.5,1396,"[6.64646577835083, 7.070021152496338, 7.211606502532959, 6.849462985992432, 6.176262855529785, 5.293726444244385, 5.09473991394043, 5.213168144226074, 5.808872699737549, 5.817525863647461, 5.728953838348389, 5.975780010223389]",6.073881626,"[206.04043579101562, 197.96058654785156, 223.55979919433594, 205.48388671875, 191.46414184570312, 158.81179809570312, 157.9369354248047, 161.60821533203125, 174.26617431640625, 180.3433074951172, 171.86862182617188, 185.24917602539062]"
Sharda Construction and Corporation\rPrivate Ltd,6,solar,Bidar,17.9,77.55,Karnataka,26-Jun-2015,7.5,1396,"[6.226771354675293, 6.8395161628723145, 6.796945095062256, 6.646835803985596, 6.245396137237549, 5.219132423400879, 4.637387752532959, 4.8100810050964355, 5.629140377044678, 6.030284404754639, 6.041515827178955, 6.097965240478516]",5.935081482,"[193.0299072265625, 191.50645446777344, 210.70529174804688, 199.4050750732422, 193.60728454589844, 156.573974609375, 143.75901794433594, 149.11251831054688, 168.87420654296875, 186.93881225585938, 181.24546813964844, 189.03692626953125]"
Waa Solar Private Limited_Tumkur1,5,solar,Koppal,15.32956,76.15266,Karnataka,11-Aug-2015,7.5,1396,"[6.557862758636475, 7.1042375564575195, 7.149910926818848, 6.793835639953613, 6.147284984588623, 5.279022693634033, 4.884997844696045, 4.9302592277526855, 5.551705837249756, 5.911116600036621, 6.021420001983643, 6.143105983734131]",6.039563656,"[203.2937469482422, 198.9186553955078, 221.64723205566406, 203.8150634765625, 190.5658416748047, 158.3706817626953, 151.4349365234375, 152.83804321289062, 166.55117797851562, 183.24461364746094, 180.64259338378906, 190.436279296875]"
Waa Solar Private Limited_Tumkur2,5,solar,Koppal,15.32956,76.15266,Karnataka,11-Aug-2015,7.5,1396,"[6.557862758636475, 7.1042375564575195, 7.149910926818848, 6.793835639953613, 6.147284984588623, 5.279022693634033, 4.884997844696045, 4.9302592277526855, 5.551705837249756, 5.911116600036621, 6.021420001983643, 6.143105983734131]",6.039563656,"[203.2937469482422, 198.9186553955078, 221.64723205566406, 203.8150634765625, 190.5658416748047, 158.3706817626953, 151.4349365234375, 152.83804321289062, 166.55117797851562, 183.24461364746094, 180.64259338378906, 190.436279296875]"
Hero Future Energies Pvt Ltd,10,solar,Chitradurga,14.22049,76.39956,Karnataka,14-Aug-2015,7.5,1396,"[6.626783847808838, 7.110927104949951, 7.0209150314331055, 6.849549293518066, 6.159091472625732, 5.388680934906006, 4.9555792808532715, 5.16971492767334, 5.7304229736328125, 5.9024834632873535, 5.821478366851807, 6.1640849113464355]",6.074975967,"[205.4302978515625, 199.10595703125, 217.6483612060547, 205.48648071289062, 190.9318389892578, 161.66043090820312, 153.62295532226562, 160.26116943359375, 171.91268920898438, 182.97698974609375, 174.64434814453125, 191.08663940429688]"
Emami Power Limited,10,Solar,Tumkur,13.34004,77.10151,Karnataka,17-Mar-2016,7.5,1396,"[6.72370719909668, 7.031337738037109, 7.14536190032959, 6.708840370178223, 6.218790054321289, 5.393377780914307, 4.864834308624268, 4.949060440063477, 5.722094535827637, 5.65501070022583, 5.882659912109375, 5.9931159019470215]",6.024015903,"[208.43492126464844, 196.87745666503906, 221.5062255859375, 201.2652130126953, 192.78248596191406, 161.80133056640625, 150.8098602294922, 153.42086791992188, 171.662841796875, 175.30532836914062, 176.47979736328125, 185.78659057617188]"
Interocean Shipping India Private Limited,3,Solar,Tumkur,13.34004,77.10151,Karnataka,19-Mar-2016,7.5,1396,"[6.72370719909668, 7.031337738037109, 7.14536190032959, 6.708840370178223, 6.218790054321289, 5.393377780914307, 4.864834308624268, 4.949060440063477, 5.722094535827637, 5.65501070022583, 5.882659912109375, 5.9931159019470215]",6.024015903,"[208.43492126464844, 196.87745666503906, 221.5062255859375, 201.2652130126953, 192.78248596191406, 161.80133056640625, 150.8098602294922, 153.42086791992188, 171.662841796875, 175.30532836914062, 176.47979736328125, 185.78659057617188]"
Azure Power India Private Limited,10,Solar,Chitradurga,14.22049,76.39956,Karnataka,31-Mar-2016,7.5,1396,"[6.626783847808838, 7.110927104949951, 7.0209150314331055, 6.849549293518066, 6.159091472625732, 5.388680934906006, 4.9555792808532715, 5.16971492767334, 5.7304229736328125, 5.9024834632873535, 5.821478366851807, 6.1640849113464355]",6.074975967,"[205.4302978515625, 199.10595703125, 217.6483612060547, 205.48648071289062, 190.9318389892578, 161.66043090820312, 153.62295532226562, 160.26116943359375, 171.91268920898438, 182.97698974609375, 174.64434814453125, 191.08663940429688]"
M/s. Welspun Renewables Energy Pvt. Ltd.,16,Solar,Chitradurga,14.22049,76.39956,Karnataka,16-Apr-2016,7.5,1396,"[6.626783847808838, 7.110927104949951, 7.0209150314331055, 6.849549293518066, 6.159091472625732, 5.388680934906006, 4.9555792808532715, 5.16971492767334, 5.7304229736328125, 5.9024834632873535, 5.821478366851807, 6.1640849113464355]",6.074975967,"[205.4302978515625, 199.10595703125, 217.6483612060547, 205.48648071289062, 190.9318389892578, 161.66043090820312, 153.62295532226562, 160.26116943359375, 171.91268920898438, 182.97698974609375, 174.64434814453125, 191.08663940429688]"
