Unnamed: 0,Location (District),Installed Capacity (MW),Latitude,Longitude,Average domestic electricity rates in Rs./KWh,Per capita electricity consumption in KWh,Solar Rad Monthly,Solar Rad Annual,poa monthly,allsky_insolation
120,KUTCH,1300,23.6240759,69.95886756,5,1785.75,"[6.0153303146362305, 6.369996547698975, 6.874466896057129, 6.856713771820068, 6.543484687805176, 5.5735626220703125, 4.8424153327941895, 5.114785194396973, 6.028998374938965, 6.457163333892822, 5.872786998748779, 5.805683612823486]",6.029615879,"[186.47523498535156, 178.3599090576172, 213.1084747314453, 205.701416015625, 202.8480224609375, 167.20687866210938, 150.1148681640625, 158.55833435058594, 180.8699493408203, 200.17205810546875, 176.18360900878906, 179.9761962890625]","[5.46, 5.38, 5.34, 5.35, 5.31]"
121,Kadapa,682.9,14.1113726666667,78.7246626666667,9.95,1480,"[6.29002571105957, 6.935344219207764, 7.039735794067383, 6.7541728019714355, 6.242395877838135, 5.570552349090576, 5.329595565795898, 5.546454429626465, 6.0452752113342285, 5.507758140563965, 5.506104469299316, 5.299879550933838]",6.005609035,"[194.9907989501953, 194.18963623046875, 218.2318115234375, 202.62518310546875, 193.51426696777344, 167.1165771484375, 165.21746826171875, 171.94009399414062, 181.35826110839844, 170.74050903320312, 165.18313598632812, 164.2962646484375]","[5.43, 5.35, 5.38, 5.48, 5.26]"
122,Kalaburgi,301,17.33274,76.84035,7.5,1396,"[6.450908660888672, 6.8469438552856445, 6.908313751220703, 6.703892707824707, 6.159297466278076, 5.270831108093262, 4.897253036499023, 4.929625511169434, 5.405470848083496, 5.901111125946045, 6.0698747634887695, 5.951448917388916]",5.957914352,"[199.97816467285156, 191.7144317626953, 214.15773010253906, 201.1167755126953, 190.93821716308594, 158.12493896484375, 151.81484985351562, 152.81838989257812, 162.16412353515625, 182.9344482421875, 182.0962371826172, 184.4949188232422]","[5.24, 5.02, 5.24, 5.06, 5.04]"
123,Kalahandi,100,19.86827798,83.10903945,5.7,1628,"[6.202575206756592, 6.524963855743408, 6.821642875671387, 6.600457191467285, 6.2476420402526855, 4.684989929199219, 4.145707130432129, 4.344998359680176, 5.216118812561035, 5.949426174163818, 5.83652925491333, 5.816362380981445]",5.699284077,"[192.2798309326172, 182.69898986816406, 211.47093200683594, 198.0137176513672, 193.67691040039062, 140.54969787597656, 128.5169219970703, 134.6949462890625, 156.4835662841797, 184.4322052001953, 175.0958709716797, 180.30723571777344]","[4.85, 4.81, 4.82, 4.75, 4.73]"
124,Kallur (V&M),3,15.80298,78.03142,9.95,1480,"[6.2605180740356445, 6.797311305999756, 7.030659198760986, 6.675724983215332, 6.1601738929748535, 5.432816982269287, 4.833129405975342, 5.296369552612305, 5.691565990447998, 5.681600093841553, 6.01015043258667, 5.9424238204956055]",5.984369755,"[194.07606506347656, 190.32472229003906, 217.950439453125, 200.27174377441406, 190.96539306640625, 162.98451232910156, 149.82701110839844, 164.1874542236328, 170.74697875976562, 176.12960815429688, 180.3045196533203, 184.2151336669922]","[5.32, 5.17, 5.25, 5.3, 5.1]"
125,Kameng,0.1,24.81375,93.88706,4,703,"[5.644348621368408, 6.195725440979004, 5.784038066864014, 5.7347493171691895, 5.0439372062683105, 4.356425762176514, 4.357738018035889, 4.5298309326171875, 4.911611080169678, 5.3886284828186035, 5.95073127746582, 5.786157608032227]",5.306993484,"[174.9748077392578, 173.48031616210938, 179.30517578125, 172.04248046875, 156.362060546875, 130.69277954101562, 135.08987426757812, 140.4247589111328, 147.34832763671875, 167.0474853515625, 178.52194213867188, 179.37088012695312]","[4.41, 4.5, 4.36, 4.48, 4.63]"
126,Kanyakumari,1,8.12937,77.3682,6.6,1866,"[6.222375392913818, 6.5650529861450195, 6.600907802581787, 6.060621738433838, 5.805298328399658, 5.3993730545043945, 5.441412925720215, 5.909857273101807, 6.298810005187988, 5.904942035675049, 5.046082019805908, 5.548335552215576]",5.90025568,"[192.8936309814453, 183.8214874267578, 204.62814331054688, 181.8186492919922, 179.96424865722656, 161.98118591308594, 168.68380737304688, 183.20558166503906, 188.96429443359375, 183.05320739746094, 151.38246154785156, 171.99839782714844]","[5.22, 5.45, 4.97, 4.93, 4.93]"
127,Karimnagar,210,18.43333,79.15,9.5,1896,"[6.036076545715332, 6.680910587310791, 6.836361885070801, 6.724233627319336, 6.152618885040283, 5.0631256103515625, 4.719341278076172, 4.673161029815674, 5.759590148925781, 5.846014022827148, 5.959372043609619, 5.866495609283447]",5.859775066,"[187.11837768554688, 187.06549072265625, 211.92721557617188, 201.7270050048828, 190.73118591308594, 151.89376831054688, 146.29957580566406, 144.8679962158203, 172.78770446777344, 181.2264404296875, 178.78115844726562, 181.86135864257812]","[5.25, 5.18, 5.24, 5.14, 5.1]"
128,Karur,147.04,10.89937,78.15882,6.6,1866,"[6.051270961761475, 6.654723167419434, 6.765082836151123, 6.565197944641113, 6.111175060272217, 5.82996940612793, 5.749526500701904, 6.131771564483643, 6.515981197357178, 5.922166347503662, 5.160813331604004, 5.376504898071289]",6.069514751,"[187.5894012451172, 186.33224487304688, 209.7175750732422, 196.9559326171875, 189.44642639160156, 174.89907836914062, 178.23532104492188, 190.0849151611328, 195.47943115234375, 183.587158203125, 154.82440185546875, 166.67164611816406]","[5.4, 5.6, 5.41, 5.31, 5.38]"
129,Khambhat,0.7,22.32403,72.62117,5,2378,"[6.295957565307617, 6.737799167633057, 7.099483013153076, 7.001462459564209, 6.659016132354736, 5.635547161102295, 4.670178413391113, 4.808712482452393, 5.517899036407471, 6.485822677612305, 6.001436710357666, 5.751143455505371]",6.055371761,"[195.1746826171875, 188.6583709716797, 220.08396911621094, 210.0438690185547, 206.42950439453125, 169.06642150878906, 144.77552795410156, 149.07008361816406, 165.53697204589844, 201.0605010986328, 180.04310607910156, 178.2854461669922]","[5.32, 5.19, 5.27, 5.24, 5.12]"
